Species_ID,Status,Create_time,Modify_time,EDGE_Group,Type,EDGE_rank,Species_class,Species_order,Species_family,Scientific_name,Synonym,Common_name,ED_score,GE_score,EDGE_score,Short_summary,Summary,Other_names,Edgeometer,Possibly_extinct,Focus_species,Search_countries,Generate_countries,Aquatic_regions
333,Publish,NULL,NULL,Mammals,EDGE,590,Mammalia,Rodentia,Sciuridae,Hyosciurus ileile,,Lowland Long-nosed Squirrel,13.04322688,VU,4.02843457,,,Lowland Long-nosed Squirrel,,,,,,
380,Publish,NULL,NULL,Mammals,Other,,Mammalia,Didelphimorphia,Didelphidae,Monodelphis maraxina,,Maraj Short-tailed Opossum,12.91488138,DD,0,,,Maraj Short-tailed Opossum,,,,,,
1626,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,595,Mammalia,Didelphimorphia,Didelphidae,Marmosops juninensis,,,12.88224544,VU,4.01690508,,,,,N,N,,,
385,Publish,NULL,NULL,Mammals,Other,,Mammalia,Didelphimorphia,Didelphidae,Monodelphis theresa,,"Southern Three-striped Opossum, Theresa's Short-tailed Opossum",12.83767114,DD,0,,,"Southern Three-striped Opossum, Theresa's Short-tailed Opossum",,,,,,
355,Publish,NULL,NULL,Mammals,EDGE,234,Mammalia,Chiroptera,Pteropodidae,Neopteryx frosti,,Small-toothed Fruit Bat,12.83682195,EN,4.70677484,,,Small-toothed Fruit Bat,,,,,,
1630,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,596,Mammalia,Chiroptera,Pteropodidae,Styloctenium wallacei,,Stripe-faced Fruit Bat,12.83682195,VU,4.01362766,,,Stripe-faced Fruit Bat,,N,N,,,
341,Publish,NULL,NULL,Mammals,EDGE,600,Mammalia,Chiroptera,Vespertilionidae,Chalinolobus tuberculatus,,New Zealand Long-tailed Bat,12.81327498,VU,4.01192445,,,"New Zealand Long-tailed Bat, Long-tailed Wattled Bat",,,,,,
359,Publish,NULL,NULL,Mammals,Other,,Mammalia,Chiroptera,Phyllostomidae,Glyphonycteris behnii ,Glyphonycteris behnii,"Behn's Bat, Behni's Big-eared Bat",12.76611994,DD,0,,,"Behn's Bat, Behni's Big-eared Bat",,,,,,
1619,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,602,Mammalia,Rodentia,Dipodidae,Allactaga tetradactyla,,Four-toed Jerboa,12.745151,VU,4.00698047,,,Four-toed Jerboa,,N,N,,,
1475,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,237,Mammalia,Primates,Lepilemuridae,Lepilemur ankaranensis,,Ankarana Sportive Lemur,12.65667849,EN,4.69367021,,,Ankarana Sportive Lemur,,N,N,,,
391,Publish,NULL,NULL,Mammals,EDGE,609,Mammalia,Lagomorpha,Leporidae,Sylvilagus transitionalis,,New England Cottontail,12.59749727,VU,3.99618011,,,"New England Cottontail, Wood Rabbit",,,,,,
1673,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,611,Mammalia,Primates,Cercopithecidae,Cercopithecus hamlyni,,Owl-faced Monkey,12.58259429,VU,3.9950835,,,"Owl-faced Monkey, Hamlyn's Monkey, Owl-faced Guenon",,N,N,,,
1641,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,612,Mammalia,Carnivora,Viverridae,Arctictis binturong,,Binturong,12.56750308,VU,3.99397182,,,"Binturong, Bearcat, Palawan Binturong",,N,N,,,
1647,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,613,Mammalia,Afrosoricida,Tenrecidae,Microgale monticola,,Mountain Shrew Tenrec,12.55592307,VU,3.99311794,,,Mountain Shrew Tenrec,,N,N,,,
1648,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,614,Mammalia,Afrosoricida,Tenrecidae,Microgale nasoloi,,Nasolo's Shrew Tenrec,12.55592307,VU,3.99311794,,,Nasolo's Shrew Tenrec,,N,N,,,
1472,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,239,Mammalia,Rodentia,Nesomyidae,Nesomys lambertoni,,Lowland Red Forest Rat,12.52808428,EN,4.68420938,,,Lowland Red Forest Rat,,N,N,,,
368,Publish,NULL,NULL,Mammals,EDGE,615,Mammalia,Chiroptera,Pteropodidae,Syconycteris carolinae,,Halmaheran Blossom Bat,12.50151485,VU,3.98909625,,,"Halmaheran Blossom Bat, Halmahera Blossom Bat, North Moluccan Blossum-bat",,,,,,
367,Publish,NULL,NULL,Mammals,EDGE,616,Mammalia,Carnivora,Ursidae,Ursus maritimus,Thalarctos maritimus,Polar Bear,12.496681,VU,3.98873816,,,Polar Bear,,,,,,
242,Publish,NULL,NULL,Mammals,EDGE,242,Mammalia,Rodentia,Muridae,Lamottemys okuensis,,Mount Oku Rat,12.47301482,EN,4.68013032,,,"Mount Oku Rat, Mt. Oku Rat",,,,,,
349,Publish,NULL,NULL,Mammals,EDGE,245,Mammalia,Carnivora,Felidae,Prionailurus planiceps,,Flat-headed Cat,12.39364572,EN,4.67422194,,,Flat-headed Cat,,,,,,
354,Publish,NULL,NULL,Mammals,Other,,Mammalia,Chiroptera,Nycteridae,Nycteris major,,"Dja Slit-faced Bat, Ja Slit-faced Bat",12.38546822,DD,0,,,"Dja Slit-faced Bat, Ja Slit-faced Bat",,,,,,
384,Publish,NULL,NULL,Mammals,Other,1949,Mammalia,Didelphimorphia,Didelphidae,Monodelphis sorex,,Hensels Short-tailed Opossum,12.38520511,LC,2.59415,,,"Hensels Short-tailed Opossum, Shrewish Short-tailed Opossum, Southern Red-sided Opossum",,,,,,Arctic Sea
453,Publish,NULL,NULL,Mammals,Other,1957,Mammalia,Artiodactyla,Cervidae,Dama dama,Dama dama ssp. Mesopotamica,Fallow Deer,12.35106176,LC,2.59159591,,,"Fallow Deer, Mesopotamian Fallow Deer, Persian Fallow Deer",,,,,,
1478,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,247,Mammalia,Rodentia,Cricetidae,Nelsonia goldmani,,Nelson And Coldman's Woodrat,12.32510028,EN,4.66909104,,,"Nelson And Coldman's Woodrat, Nelson And Goodman's Wood Rat",,N,N,,,
386,Publish,NULL,NULL,Mammals,Other,,Mammalia,Didelphimorphia,Didelphidae,Monodelphis unistriata,,"Single-striped Opossum, One-striped Opossum, One-striped Short-tailed Opossum",12.32093693,DD,0,,,"Single-striped Opossum, One-striped Opossum, One-striped Short-tailed Opossum",,,,,,
369,Publish,NULL,NULL,Mammals,EDGE,626,Mammalia,Chiroptera,Pteropodidae,Syconycteris hobbit,,Moss-forest Blossom Bat,12.27789145,VU,3.97239472,,,Moss-forest Blossom Bat,,,,,,
1555,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,248,Mammalia,Rodentia,Muridae,Desmomys yaldeni,,Yalden's Desmomys,12.25387872,EN,4.66373178,,,Yalden's Desmomys,,N,N,,,
1369,Publish,NULL,NULL,Amphibians,Extinct,,Amphibia,Anura,Hylidae,Phrynomedusa fimbriata,,Spiny-knee Leaf Frog,12.20114682,EX,,Loss of natural habitat in this heavily populated region probably caused the extinction of this species. ,Loss of natural habitat in this heavily populated region probably caused the extinction of this species. ,,,,,,,
345,Publish,NULL,NULL,Mammals,EDGE,631,Mammalia,Diprotodontia,Macropodidae,Setonix brachyurus,,Quokka,12.17204167,VU,3.96439089,,,"Quokka, Short-tailed Wallaby",,,,,,
1652,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,632,Mammalia,Diprotodontia,Phalangeridae,Spilocuscus papuensis,,Waigeo Cuscus,12.08606226,VU,3.95784208,,,"Waigeo Cuscus, Waigeo Spotted Cuscus",,N,N,,,
407,Publish,NULL,NULL,Mammals,Other,1995,Mammalia,Carnivora,Viverridae,Paradoxurus jerdoni,,Brown Palm Civet,12.085966,LC,2.57154036,,,"Brown Palm Civet, Jerdon's Palm Civet",,,,,,
1656,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,633,Mammalia,Carnivora,Viverridae,Paradoxurus zeylonensis,,Golden Palm Civet,12.085966,VU,3.95783472,,,Golden Palm Civet,,N,N,,,
397,Publish,NULL,NULL,Mammals,EDGE,252,Mammalia,Rodentia,Spalacidae,Spalax arenarius,,Sandy Mole Rat,12.05179896,EN,4.64836752,,,Sandy Mole Rat,,,,,,
1684,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,638,Mammalia,Primates,Atelidae,Ateles paniscus,,Guiana Spider Monkey,11.99987177,VU,3.95123385,,,"Guiana Spider Monkey, Black Spider Monkey, Red-faced Black Spider Monkey",,N,N,,,
1651,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,641,Mammalia,Soricomorpha,Soricidae,Cryptotis magna,,Big Mexican Small-eared Shrew,11.98535955,VU,3.9501169,,,"Big Mexican Small-eared Shrew, Big Small-eared Shrew",,N,N,,,
387,Publish,NULL,NULL,Mammals,Other,1145,Mammalia,Rodentia,Cricetidae,Mesocricetus newtoni,,Romanian Hamster,11.93894589,NT,3.253389,,,Romanian Hamster,,,,,,
1724,Publish,30/09/2010 02:27,30/09/2010 02:27,Mammals,EDGE,645,Mammalia,Rodentia,Muridae,Eropeplus canus,,Sulawesi Soft-furred Rat,11.90550359,VU,3.94394822,,,Sulawesi Soft-furred Rat,,N,N,,,
400,Publish,NULL,NULL,Mammals,Other,2026,Mammalia,Rodentia,Spalacidae,Spalax microphthalmus,,Greater Blind Mole Rat,11.88999918,LC,2.55645175,,,"Greater Blind Mole Rat, Greater Mole Rat",,,,,,
327,Publish,NULL,NULL,Mammals,EDGE,647,Mammalia,Chiroptera,Molossidae,Molossops aequatorianus,,Equatorial Dog-faced Bat,11.84786063,VU,3.93947167,,,Equatorial Dog-faced Bat,,,,,,
